"","X.1","X","date","time","landfall","type","lat","long","category","US"
"1",1,1,"AL011851","UNNAMED","14","","","",0,NA
"2",2,2,"18510625","0","","HU","28","94.8W",1,NA
"3",3,3,"18510625","600","","HU","28","95.4W",1,NA
"4",4,4,"18510625","1200","","HU","28","96.0W",1,NA
"5",5,5,"18510625","1800","","HU","28.1","96.5W",1,NA
"6",6,6,"18510625","2100","L","HU","28.2","96.8W",1,NA
"7",7,7,"18510626","0","","HU","28.2","97.0W",1,"TRUE"
"8",8,8,"18510626","600","","TS","28.3","97.6W",0,"TRUE"
"9",9,9,"18510626","1200","","TS","28.4","98.3W",0,"TRUE"
"10",10,10,"18510626","1800","","TS","28.6","98.9W",0,"TRUE"
"11",11,11,"18510627","0","","TS","29","99.4W",0,"TRUE"
"12",12,12,"18510627","600","","TS","29.5","99.8W",0,"TRUE"
"13",13,13,"18510627","1200","","TS","30","100.0W",0,"TRUE"
"14",14,14,"18510627","1800","","TS","30.5","100.1W",0,"TRUE"
"15",15,15,"18510628","0","","TS","31","100.2W",0,"TRUE"
"16",16,16,"AL021851","UNNAMED","1","","","",0,NA
"17",17,17,"18510705","1200","","HU","22.2","97.6W",1,NA
"18",18,18,"AL031851","UNNAMED","1","","","",0,NA
"19",19,19,"18510710","1200","","TS","12","60.0W",0,NA
"20",20,20,"AL041851","UNNAMED","49","","","",0,NA
"21",21,21,"18510816","0","","TS","13.4","48.0W",0,NA
"22",22,22,"18510816","600","","TS","13.7","49.5W",0,NA
"23",23,23,"18510816","1200","","TS","14","51.0W",0,NA
"24",24,24,"18510816","1800","","TS","14.4","52.8W",0,NA
"25",25,25,"18510817","0","","TS","14.9","54.6W",0,NA
"26",26,26,"18510817","600","","TS","15.4","56.5W",0,NA
"27",27,27,"18510817","1200","","HU","15.9","58.5W",1,NA
"28",28,28,"18510817","1800","","HU","16.1","60.4W",1,NA
"29",29,29,"18510818","0","","HU","16.6","62.5W",1,NA
"30",30,30,"18510818","600","","HU","16.9","64.1W",1,NA
"31",31,31,"18510818","1200","","HU","17.2","66.0W",2,NA
"32",32,32,"18510818","1800","","HU","17.6","67.6W",2,NA
"33",33,33,"18510819","0","","HU","18","69.3W",2,NA
"34",34,34,"18510819","600","","HU","18.4","71.1W",1,"Dominican Republic"
"35",35,35,"18510819","1200","","TS","18.9","72.6W",0,"Haiti"
"36",36,36,"18510819","1800","","TS","19.4","74.3W",0,NA
"37",37,37,"18510820","0","","HU","19.9","75.9W",1,NA
"38",38,38,"18510820","600","","HU","20.5","77.6W",1,NA
"39",39,39,"18510820","1200","","HU","21.2","79.0W",1,NA
"40",40,40,"18510820","1800","","HU","21.9","80.4W",1,NA
"41",41,41,"18510821","0","","TS","22.6","81.4W",0,"Cuba"
"42",42,42,"18510821","600","","TS","23.2","82.5W",0,NA
"43",43,43,"18510821","1200","","HU","23.9","83.6W",1,NA
"44",44,44,"18510821","1800","","HU","24.4","84.3W",1,NA
"45",45,45,"18510822","0","","HU","25","84.9W",1,NA
"46",46,46,"18510822","600","","HU","25.6","85.5W",1,NA
"47",47,47,"18510822","1200","","HU","26.2","86.0W",2,NA
"48",48,48,"18510822","1800","","HU","26.8","86.3W",2,NA
"49",49,49,"18510823","0","","HU","27.4","86.5W",3,NA
"50",50,50,"18510823","600","","HU","28","86.6W",3,NA
"51",51,51,"18510823","1200","","HU","28.5","86.6W",3,NA
"52",52,52,"18510823","1800","","HU","29.6","86.1W",3,NA
"53",53,53,"18510823","2100","L","HU","30.1","85.7W",3,NA
"54",54,54,"18510824","0","","HU","30.7","85.1W",2,"TRUE"
"55",55,55,"18510824","600","","HU","31.6","84.1W",1,"TRUE"
"56",56,56,"18510824","1200","","TS","32.5","83.0W",0,"TRUE"
"57",57,57,"18510824","1800","","TS","33.4","81.4W",0,"TRUE"
"58",58,58,"18510825","0","","TS","34","80.0W",0,"TRUE"
"59",59,59,"18510825","600","","TS","34.8","78.6W",0,"TRUE"
"60",60,60,"18510825","1200","","TS","35.8","77.0W",0,"TRUE"
"61",61,61,"18510825","1800","","TS","36.8","75.1W",0,NA
"62",62,62,"18510826","0","","TS","37.8","73.6W",0,NA
"63",63,63,"18510826","600","","TS","38.9","71.8W",0,NA
"64",64,64,"18510826","1200","","TS","40","70.0W",0,NA
"65",65,65,"18510826","1800","","TS","41.3","66.8W",0,NA
"66",66,66,"18510827","0","","TS","42.8","63.3W",0,NA
"67",67,67,"18510827","600","","TS","44.5","60.2W",0,NA
"68",68,68,"18510827","1200","","TS","46.4","57.2W",0,NA
"69",69,69,"18510827","1800","","TS","48.5","54.2W",0,"Canada"
"70",70,70,"AL051851","UNNAMED","16","","","",0,NA
"71",71,71,"18510913","0","","TS","32.5","73.5W",0,NA
"72",72,72,"18510913","600","","TS","32.5","73.5W",0,NA
"73",73,73,"18510913","1200","","TS","32.5","73.5W",0,NA
"74",74,74,"18510913","1800","","TS","32.5","73.5W",0,NA
"75",75,75,"18510914","0","","TS","32.5","73.5W",0,NA
"76",76,76,"18510914","600","","TS","32.5","73.5W",0,NA
"77",77,77,"18510914","1200","","TS","32.5","73.5W",0,NA
"78",78,78,"18510914","1800","","TS","32.5","73.5W",0,NA
"79",79,79,"18510915","0","","TS","32.5","73.5W",0,NA
"80",80,80,"18510915","600","","TS","32.5","73.5W",0,NA
"81",81,81,"18510915","1200","","TS","32.5","73.5W",0,NA
"82",82,82,"18510915","1800","","TS","32.5","73.5W",0,NA
"83",83,83,"18510916","0","","TS","32.5","73.5W",0,NA
"84",84,84,"18510916","600","","TS","32.5","73.5W",0,NA
"85",85,85,"18510916","1200","","TS","32.5","73.5W",0,NA
"86",86,86,"18510916","1800","","TS","32.5","73.5W",0,NA
"87",87,87,"AL061851","UNNAMED","17","","","",0,NA
"88",88,88,"18511016","0","","TS","28.7","78.0W",0,NA
"89",89,89,"18511016","600","","TS","29.1","77.8W",0,NA
"90",90,90,"18511016","1200","","TS","29.5","77.5W",0,NA
"91",91,91,"18511016","1800","","TS","30.1","77.1W",0,NA
"92",92,92,"18511017","0","","TS","30.7","76.6W",0,NA
"93",93,93,"18511017","600","","TS","31.2","76.3W",0,NA
"94",94,94,"18511017","1200","","TS","31.6","75.9W",0,NA
"95",95,95,"18511017","1800","","TS","32","75.5W",0,NA
"96",96,96,"18511018","0","","TS","32.7","74.9W",0,NA
"97",97,97,"18511018","600","","TS","33.3","74.3W",0,NA
"98",98,98,"18511018","1200","","TS","34","73.8W",0,NA
"99",99,99,"18511018","1800","","TS","35.3","73.0W",0,NA
"100",100,100,"18511019","0","","TS","37","72.6W",0,NA
"101",101,101,"18511019","600","","TS","38.5","72.1W",0,NA
"102",102,102,"18511019","1200","","TS","40.2","71.8W",0,NA
"103",103,103,"18511019","1500","L","TS","41.1","71.7W",0,NA
"104",104,104,"18511019","1800","","TS","42","71.6W",0,"TRUE"
"105",105,105,"AL011852","UNNAMED","45","","","",0,NA
"106",106,106,"18520819","0","","TS","20.5","67.1W",0,NA
"107",107,107,"18520819","600","","TS","20.7","68.0W",0,NA
"108",108,108,"18520819","1200","","TS","20.9","68.8W",0,NA
"109",109,109,"18520819","1800","","TS","21.1","69.6W",0,NA
"110",110,110,"18520820","0","","HU","21.2","70.6W",1,NA
"111",111,111,"18520820","600","","HU","21.5","71.9W",1,NA
"112",112,112,"18520820","1200","","HU","21.7","73.0W",1,NA
"113",113,113,"18520820","1800","","HU","21.9","74.0W",1,NA
"114",114,114,"18520821","0","","HU","22.1","74.9W",1,NA
"115",115,115,"18520821","600","","HU","22.2","76.1W",1,NA
"116",116,116,"18520821","1200","","HU","22.6","77.1W",1,NA
"117",117,117,"18520821","1800","","HU","22.9","78.1W",1,NA
"118",118,118,"18520822","0","","HU","23.2","79.3W",2,NA
"119",119,119,"18520822","600","","HU","23.5","80.1W",2,NA
"120",120,120,"18520822","1200","","HU","23.8","81.1W",2,NA
"121",121,121,"18520822","1800","","HU","24.2","82.1W",2,NA
"122",122,122,"18520823","0","","HU","24.7","83.1W",2,NA
