"","hurricanes","landfalldate","hour","category"
"1","CELIA1",1970-08-03,18,3
"2","EDITH1",1971-09-09,18,5
"3","CARMEN1",1974-09-08,6,3
"4","ELOISE1",1975-09-23,12,3
"5","ANITA1",1977-09-02,0,5
"6","DAVID1",1979-09-03,12,2
"7","FREDERIC1",1979-09-12,18,4
"8","ALLEN1",1980-08-10,6,3
"9","ALICIA1",1983-08-18,7,3
"10","ELENA1",1985-09-02,13,3
"11","GLORIA1",1985-09-27,5,2
"12","KATE1",1985-11-21,22,2
"13","GILBERT1",1988-09-12,17,4
"14","GILBERT2",1988-09-14,15,5
"15","GILBERT3",1988-09-16,22,3
"16","HUGO1",1989-09-17,5,4
"17","HUGO2",1989-09-18,6,4
"18","HUGO3",1989-09-18,12,3
"19","HUGO4",1989-09-18,13,3
"20","HUGO5",1989-09-22,4,4
"21","ANDREW1",1992-08-23,21,5
"22","ANDREW2",1992-08-24,1,4
"23","ANDREW3",1992-08-24,8,5
"24","ANDREW4",1992-08-24,9,5
"25","ANDREW5",1992-08-26,8,3
"26","OPAL1",1995-10-04,22,3
"27","BERTHA1",1996-07-12,20,2
"28","FRAN1",1996-09-06,0,3
"29","GEORGES1",1998-09-21,4,3
"30","GEORGES2",1998-09-21,8,3
"31","GEORGES3",1998-09-21,22,3
"32","GEORGES4",1998-09-22,12,3
"33","GEORGES5",1998-09-25,15,2
"34","GEORGES6",1998-09-28,11,2
"35","BRET1",1999-08-23,0,3
"36","MICHELLE1",2001-11-04,18,4
"37","MICHELLE2",2001-11-04,23,4
"38","ISIDORE1",2002-09-22,21,3
"39","ISABEL1",2003-09-18,17,2
"40","CHARLEY1",2004-08-13,4,3
"41","CHARLEY2",2004-08-13,19,4
"42","CHARLEY3",2004-08-13,20,4
"43","FRANCES1",2004-09-02,19,3
"44","FRANCES2",2004-09-03,5,3
"45","FRANCES3",2004-09-03,10,2
"46","FRANCES4",2004-09-04,10,2
"47","FRANCES5",2004-09-05,4,2
"48","IVAN1",2004-09-16,6,3
"49","JEANNE1",2004-09-25,14,3
"50","JEANNE2",2004-09-26,4,3
"51","DENNIS1",2005-07-08,2,4
"52","DENNIS2",2005-07-08,18,4
"53","DENNIS3",2005-07-10,19,3
"54","EMILY1",2005-07-18,6,4
"55","EMILY2",2005-07-20,12,3
"56","KATRINA1",2005-08-29,11,3
"57","KATRINA2",2005-08-29,14,3
"58","RITA1",2005-09-24,7,3
"59","WILMA1",2005-10-21,21,4
"60","WILMA2",2005-10-22,3,4
"61","WILMA3",2005-10-24,10,3
"62","GUSTAV1",2008-08-30,18,4
"63","GUSTAV2",2008-08-30,22,4
"64","GUSTAV3",2008-09-01,15,2
"65","IKE1",2008-09-07,13,3
"66","IKE2",2008-09-08,2,4
"67","IKE3",2008-09-13,7,2
"68","IRENE1",2011-08-24,16,3
"69","IRENE2",2011-08-25,0,2
"70","IRENE3",2011-08-25,9,2
"71","IRENE4",2011-08-25,18,2
"72","ARTHUR1",2014-07-04,3,2
"73","ARTHUR2",2014-07-04,8,2
"74","MATTHEW1",2016-10-04,11,4
"75","MATTHEW2",2016-10-05,0,4
"76","MATTHEW3",2016-10-07,0,4
"77","HARVEY1",2017-08-26,3,4
"78","HARVEY2",2017-08-26,6,3
"79","IRMA1",2017-09-06,5,5
"80","IRMA2",2017-09-06,11,5
"81","IRMA3",2017-09-06,16,5
"82","IRMA4",2017-09-08,5,4
"83","IRMA5",2017-09-09,3,5
"84","IRMA6",2017-09-10,13,4
"85","IRMA7",2017-09-10,19,3
"86","MARIA1",2017-09-19,1,5
"87","MARIA2",2017-09-20,10,4
